sku_id,sku_name,ved_category,fsn_category,current_stock,ADC,days_cover,min_days_cover,cover_gap_vs_min,base_forecast_14d,effective_lead_time,resilience_score,resilience_band,expiry_risk_bucket,expiry_risk_flag,final_action,final_action_priority
MED008,Omeprazole Capsule 20mg,Essential,Slow,25,16.49,1.2681159420289854,10,-8.731884057971016,232.8126906760785,2.4,25.0,Critical,LOW (>180d),0,URGENT REPLENISH (ESSENTIAL),1
MED001,Paracetamol Tablet 500mg,Vital,Fast,115,91.48,12.014925373134329,14,-1.9850746268656714,1550.2666666666669,12.0,40.0,Risky,LOW (>180d),0,EMERGENCY REPLENISH (VITAL),1
MED002,Amoxicillin Capsule 250mg,Vital,Fast,101,72.21,7.069999999999999,14,-6.930000000000001,1318.0,7.199999999999999,40.0,Risky,LOW (>180d),0,EMERGENCY REPLENISH (VITAL),1
MED003,Oral Rehydration Salts,Vital,Fast,414,57.54,25.200000000000003,14,11.200000000000003,1062.6,9.6,55.0,Risky,LOW (>180d),0,EMERGENCY REPLENISH (VITAL),1
MED007,Adrenaline Injection 1 mg/ml,Vital,Slow,23,3.11,0.9415204678362572,30,-29.058479532163744,56.0,3.5999999999999996,65.0,Risky,LOW (>180d),0,EMERGENCY REPLENISH (VITAL),1
MED004,Ibuprofen Tablet 200mg,Essential,Fast,183,64.17,8.264516129032259,10,-1.735483870967741,999.8563888203208,4.8,40.0,Risky,LOW (>180d),0,REORDER SOON (ESSENTIAL),2
MED010,Multivitamin Tablet,Desirable,Slow,40,13.17,3.5443037974683542,7,-3.4556962025316458,179.86270522064655,6.0,40.0,Risky,LOW (>180d),0,ONLY REORDER IF BUDGET ALLOWS,3
MED006,Insulin Injection 40 IU/ml,Vital,Slow,64,9.37,2.5454545454545454,30,-27.454545454545453,122.20135859014913,3.5999999999999996,65.0,Risky,LOW (>180d),0,EMERGENCY REPLENISH (VITAL),4
MED009,Metformin Tablet 500mg,Essential,Slow,79,28.02,5.368932038834951,10,-4.631067961165049,371.4588363563047,2.4,80.0,Watchlist,LOW (>180d),0,MONITOR & REVIEW NEXT CYCLE,4
MED012,Cotton Roll 100g,Desirable,Fast,472,19.97,91.77777777777776,7,84.77777777777776,270.0,8.4,81.0,Watchlist,LOW (>180d),0,MANUAL REVIEW,4
MED005,Cetirizine Tablet 5mg,Essential,Fast,448,44.84,21.93006993006993,10,11.93006993006993,724.0,8.4,95.0,Stable,LOW (>180d),0,HEALTHY STOCK (ESSENTIAL),4
MED011,Antiseptic Lotion,Desirable,Slow,59,5.45,8.26,7,1.2599999999999998,76.92047874842393,4.8,95.0,Stable,LOW (>180d),0,HOLD: LOW PRIORITY DRUG,5
