sku_id,sku_name,ved_category,fsn_category,ADC,ADC_std,ADC_cv,max_daily_consumption,current_stock,lead_time_days,safety_stock,ROL,MSL,days_cover,coverage_gap,action_severity_score,risk_category
MED007,Adrenaline Injection 1 mg/ml,Vital,Slow,3.11,0.39,0.125,6,23,3,31.0,49.0,40.0,0.9415204678362572,-2.0584795321637426,100,Critical
MED006,Insulin Injection 40 IU/ml,Vital,Slow,9.37,2.56,0.273,22,64,3,94.0,160.0,132.0,2.5454545454545454,-0.4545454545454546,100,Critical
MED001,Paracetamol Tablet 500mg,Vital,Fast,91.48,25.07,0.274,245,115,10,915.0,3365.0,2450.0,12.014925373134329,2.0149253731343286,90,Critical
MED002,Amoxicillin Capsule 250mg,Vital,Fast,72.21,20.92,0.29,146,101,6,722.0,1598.0,1165.0,7.069999999999999,1.0699999999999994,90,Critical
MED008,Omeprazole Capsule 20mg,Essential,Slow,16.49,3.36,0.204,33,25,2,115.0,181.0,148.0,1.2681159420289854,-0.7318840579710146,90,Critical
MED009,Metformin Tablet 500mg,Essential,Slow,28.02,5.74,0.205,53,79,2,196.0,302.0,246.0,5.368932038834951,3.3689320388349513,90,Critical
MED004,Ibuprofen Tablet 200mg,Essential,Fast,64.17,16.09,0.251,148,183,4,449.0,1041.0,784.0,8.264516129032259,4.264516129032259,80,Critical
MED003,Oral Rehydration Salts,Vital,Fast,57.54,16.86,0.293,136,414,8,575.0,1663.0,1203.0,25.200000000000003,17.200000000000003,80,Critical
MED010,Multivitamin Tablet,Desirable,Slow,13.17,2.95,0.224,27,40,5,40.0,175.0,109.0,3.5443037974683542,-1.4556962025316458,80,Critical
MED005,Cetirizine Tablet 5mg,Essential,Fast,44.84,11.83,0.264,96,448,7,314.0,986.0,672.0,21.93006993006993,14.93006993006993,70,Critical
MED011,Antiseptic Lotion,Desirable,Slow,5.45,1.52,0.279,11,59,4,16.0,60.0,38.0,8.26,4.26,70,Critical
MED012,Cotton Roll 100g,Desirable,Fast,19.97,4.49,0.225,42,472,7,60.0,354.0,214.0,91.77777777777776,84.77777777777776,20,Safe
